Date,Activity_Scale
1955-01-13,1
1955-01-13,1
1957-12-11,1
1958-12-07,1
1958-12-07,1
1958-12-07,1
1958-12-07,1
1958-12-07,1
1958-12-07,1
1959-12-19,1
1959-12-19,1
1959-12-19,1
1959-12-19,1
1959-12-19,1
1962-12-15,1
1965-04-12,1
1965-04-12,1
1965-04-12,1
1965-04-12,1
1965-04-12,1
1965-04-12,1
1965-04-12,1
1966-11-13,1
1966-11-19,1
1966-11-19,1
1966-11-19,1
1966-11-19,1
1966-11-19,1
1966-11-19,1
1966-11-20,1
1966-11-20,1
1967-10-04,1
1967-10-04,1
1967-10-04,1
1967-10-04,1
1967-10-04,1
1967-10-04,1
1967-10-04,1
1967-10-04,1
1968-02-09,1
1968-02-09,1
1968-02-09,1
1968-02-09,1
1968-02-21,1
1968-02-21,1
1968-02-21,1
1968-02-21,1
1968-02-21,1
1968-02-21,1
1968-02-21,1
1968-03-05,1
1968-03-05,1
1968-03-05,1
1968-03-05,1
1968-03-05,1
1968-03-05,1
1968-03-05,1
1968-03-12,1
1968-03-12,1
1968-03-12,1
1968-03-12,1
1968-03-12,1
1968-03-12,1
1968-03-18,1
1968-03-18,1
1968-03-18,1
1968-03-18,1
1968-03-18,1
1968-03-20,1
1968-03-20,1
1968-03-20,1
1968-04-04,1
1968-04-04,1
1968-04-04,1
1968-04-18,1
1968-04-18,1
1968-04-18,1
1968-04-18,1
1968-04-18,1
1968-04-18,1
1968-04-29,1
1968-04-29,1
1968-04-29,1
1968-05-15,1
1968-05-15,1
1968-05-15,1
1968-05-15,1
1968-05-15,1
1968-05-15,1
1968-05-15,1
1968-06-06,1
1968-06-06,1
1968-06-06,1
1968-06-06,1
1968-06-06,1
1968-06-06,1
1968-06-06,1
1968-06-06,1
1968-07-12,1
1968-07-12,1
1968-07-12,1
1968-07-12,1
1968-07-12,1
1968-07-12,1
1968-07-12,1
1968-07-12,1
1968-07-12,1
1968-07-17,1
1968-07-17,1
1968-07-17,1
1968-07-17,1
1968-07-17,1
1968-07-17,1
1968-07-17,1
1968-07-17,1
1968-08-21,1
1968-08-21,1
1968-08-21,1
1968-08-21,1
1968-08-21,1
1968-08-21,1
1968-09-10,1
1968-09-10,1
1968-09-10,1
1968-10-16,1
1968-10-16,1
1968-10-16,1
1968-10-16,1
1968-10-16,1
1968-11-18,1
1968-11-18,1
1969-02-09,1
1969-02-09,1
1969-02-09,1
1969-02-09,1
1969-02-10,1
1969-02-10,1
1969-02-10,1
1969-02-10,1
1969-02-10,1
1969-02-10,1
1969-02-10,1
1969-02-10,1
1969-02-10,1
1969-02-26,1
1969-02-26,1
1969-02-26,1
1969-02-26,1
1969-02-26,1
1969-02-26,1
1969-02-26,1
1969-02-26,1
1969-03-14,1
1969-03-14,1
1969-03-14,1
1969-03-14,1
1969-08-26,1
1969-08-26,1
1969-08-26,1
1969-08-26,1
1969-08-26,1
1969-08-26,1
1969-08-26,1
1969-08-26,1
1969-09-01,1
1969-09-01,1
1969-09-01,1
1969-09-01,1
1969-09-01,1
1969-12-05,1
1969-12-05,1
1969-12-05,1
1969-12-05,1
1969-12-05,1
1970-06-30,1
1970-06-30,1
1970-06-30,1
1970-06-30,1
1970-06-30,1
1970-06-30,1
1970-11-05,1
1970-11-05,1
1970-11-05,1
1970-11-30,1
1970-11-30,1
1970-11-30,1
1970-11-30,1
1970-11-30,1
1971-04-06,1
1971-04-30,1
1971-04-30,1
1971-04-30,1
1971-04-30,1
1971-04-30,1
1971-07-19,1
1971-07-20,1
1971-07-20,1
1971-07-20,1
1971-07-20,1
1971-07-20,1
1971-07-20,1
1971-07-20,1
1971-07-20,1
1971-07-20,1
1971-07-29,1
1971-07-29,1
1971-08-26,1
1971-08-26,1
1971-08-26,1
1971-08-26,1
1971-11-29,1
1971-11-29,1
1971-11-29,1
1971-11-29,1
1971-11-29,1
1971-11-29,1
1971-11-29,1
1971-11-29,1
1971-11-29,1
